id,conversation_id,customer_message,intent,escalate,escalation_reason,historical_agent_reply,label_source
1,conv_8435_8438,@AppleSupport I need an actual human to help me,other_general,0,Standard inquiries are auto-handled with verified official documentation.,"@customer Understood. For further help with your Apple ID, connect with one of our Apple ID Advisors here: [LINK]",manual_review_verified
2,conv_146780_146779,@AppleSupport hey apple! iphone 6 lock screen. is it normal? [LINK],hardware_display_audio,1,Hardware failure requires hardware replacement or escalation to repair specialist.,@customer We'd like to look into this with you. Could you tell us the version of iOS you're running on this phone? Have you restarted the phone recently?,manual_review_verified
3,conv_90723_90722,@AppleSupport hello please help my messages app won't work it hasn't for a while when i click to open a message the app closes,app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.",@customer We can help. Are you able to force close all of your apps? This might help: [LINK] Once that is done please try the Messages app again.,manual_review_verified
4,conv_127640_127639,"@customer See, I don’t get this! It irritates the living CRAP out of me! Why does it say “downloaded” but yet you can’t listen to it without signal? Thought that was the whole deal with podcasts! The ones I listen to delete quickly and then I miss it! Please fix @AppleSupport",connectivity_network,0,Network/Bluetooth disconnects can be resolved by resetting Network Settings or toggling Airplane Mode.,@customer Thanks for reaching out. We're here to help. DM us so we can look into this further with you. [LINK],manual_review_verified
5,conv_31911_31910,"@AppleSupport After updating to 10.13.1 to fix freeze issues of High Sierra, I went to a complete black screen. Test product before release",software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer We want to help. Are you still seeing a blank black screen on your Mac? Send us a DM. [LINK],manual_review_verified
6,conv_34662_34661,"Thanks @AppleSupport, for following up on the camera issue. It is highly appreciated. Hope you will continue to support in the same way.",hardware_display_audio,1,Hardware failure requires hardware replacement or escalation to repair specialist.,@customer Our pleasure! Let us know if you have further questions & we'll be glad to help.,manual_review_verified
7,conv_47995_47993,"@AppleSupport hi there, I need to inquire something regarding he refund of an item",account_security_appleid,1,"Account credentials, 2FA, or payment security requires verified advisor authentication.","@customer For questions about refunds, our iTunes Store would be the best team to help. Reach out to them here: [LINK]",manual_review_verified
8,conv_87214_87213,@AppleSupport i signed out of my apple id on my phone & when i signed back in tons of my music wasnt in my library/no longer downloaded & my playlists were gone. i have an apple music membership. everything on my computer stayed the same however. how do i get it back to normal??,account_security_appleid,1,"Account credentials, 2FA, or payment security requires verified advisor authentication.",@customer We received your DM and We'll respond there shortly. Talk to you soon!,manual_review_verified
9,conv_164246_164245,@customer Plz get ur shit together and fix I.T,other_general,0,Standard inquiries are auto-handled with verified official documentation.,@customer We'd like to help out. Could you Direct Message us and let know what iOS version is on the iPhone? [LINK],manual_review_verified
10,conv_152960_152959,"@AppleSupport I turned it off, and then on again, and it took me to my home screen, with my iCloud connected, but none of my apps downloaded. When I try to install the update it says 'Unable to Check for Update'.",software_update_os,0,"OS update verification issues can be resolved via guided restart, storage clearing, or iTunes restore steps.",@customer Hi there. Thanks for reaching out. We want you to be able to update your iPhone X. Are you currently connected to Wi-Fi? Let us know in DM. [LINK],manual_review_verified
11,conv_22997_22998,@AppleSupport This started a few months ago. I tried safe mode and had no success,other_general,0,Standard inquiries are auto-handled with verified official documentation.,@customer Let's dig further in via DM to see what we can figure out. Are you able to access iTunes and the iTunes store fully? [LINK],manual_review_verified
12,conv_41574_41572,@AppleSupport good morning from PR when will u be selling Carrier unlocked iPhone X? Thanks 🙏,connectivity_network,0,Network/Bluetooth disconnects can be resolved by resetting Network Settings or toggling Airplane Mode.,@customer We’d like to get you in touch with our Apple Online Store team for assistance. Reach out here: [LINK],manual_review_verified
13,conv_2637_2639,"@AppleSupport Hi, I plugged an adapter straight into the transformer and it still didn't charger. The charger LED does not light up either.",battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,@customer We certainly want to take a closer look into this. Select the following link to join us in a DM and we'll go from there. [LINK],manual_review_verified
14,conv_40558_40557,"Hey @customer just got a fake email from u, telling me someone accessed my iCloud, & if it wasn't me to use a link provided. Just saying 🤦🏼‍♀️",account_security_appleid,1,"Account credentials, 2FA, or payment security requires verified advisor authentication.","@customer Thanks for informing us. However, this wouldn't be an email sent from Apple. Please take a look at this: [LINK]",manual_review_verified
15,conv_4871_4869,Really considering getting a new kind of phone since my iPhone dies with 90% while using my camera 😤 @customer @AppleSupport @318,hardware_display_audio,1,Hardware failure requires hardware replacement or escalation to repair specialist.,@customer We want to help! What model of iOS device are you using? Do you have the most recent version of iOS 11.1 downloaded?,manual_review_verified
16,conv_44628_44629,@AppleSupport Do I have to do an account recovery?? Which I have to wait 24 hours for??,other_general,0,Standard inquiries are auto-handled with verified official documentation.,"@customer Recovery should only be used as a last step. First, contact our Account Security team by going to [LINK]",manual_review_verified
17,conv_146825_146824,من يوم نزل التحديث #ios11 ما ترقع تلفوني😪🙏🏻 @AppleSupport,other_general,0,Standard inquiries are auto-handled with verified official documentation.,@customer We offer support via Twitter in English. Contact an Advisor for help in your preferred language here: [LINK],manual_review_verified
18,conv_127648_127647,Need to reset my apple password. How do I do that quickly? @applesupport,account_security_appleid,1,"Account credentials, 2FA, or payment security requires verified advisor authentication.","@customer Thanks so much for reaching out! For steps on how to reset your password, take a look at this article here: [LINK] If you have any other questions reach out to us in DM using the link below. [LINK]",manual_review_verified
19,conv_152956_152955,I’m getting a “Service Battery” warning on my 17’ MacBook Pro Retina Mid2012 @AppleSupport what say you? [LINK],battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,@customer Let's look into this together. Which country are you located in? Let us know in DM. [LINK],manual_review_verified
20,conv_36636_36639,"@AppleSupport Freezing basically all of the time. Apps are messing up, if i turn on airplane mode and then turn it off i can’t get service without restart",app_performance_crash,0,"Application freezing can be self-resolved by force quitting, updating app, or clearing cache.",@customer Which iPhone and iOS 11 version are you using?,manual_review_verified
21,conv_35347_35346,"@AppleSupport my iphone 6s is rendered two 2 hours. Drained battery, killed all non used apps and still two hours. #newiosblows",battery_power,0,Standard battery drain troubleshooting can be auto-handled via Battery Health settings & background app guidance.,@customer Let's look into what's happening together. Send us a DM telling us the country you're located in to begin. [LINK],manual_review_verified
22,conv_116016_116015,@AppleSupport hey Apple support a picture of other people just showed up on my pictures. I do not know these people what so ever. And when my phone is rotation is locked it still turns,account_security_appleid,1,"Account credentials, 2FA, or payment security requires verified advisor authentication.","@customer Let's look into this together. DM us which iPhone and iOS version you're experiencing these issues on, and we'll start from there. [LINK]",manual_review_verified
23,conv_94866_94869,"@AppleSupport Could it be the WiFi ? It hung up more than 5 times, i know 🤨",connectivity_network,0,Network/Bluetooth disconnects can be resolved by resetting Network Settings or toggling Airplane Mode.,@customer Thanks for that screenshot. Have you tried making calls on mobile data or while connected to another Wi-Fi network?,manual_review_verified
24,conv_97061_97059,@AppleSupport why tf does my wifi n bluetooth turn on by its self after I turn it off?,connectivity_network,0,Network/Bluetooth disconnects can be resolved by resetting Network Settings or toggling Airplane Mode.,@customer We want to help. Which version of iOS are you using? You can check in Settings > General > About.,manual_review_verified
25,conv_60317_60315,@AppleSupport why does my lock screen when playing music freeze and not let me skip or go back or anything?,hardware_display_audio,1,Hardware failure requires hardware replacement or escalation to repair specialist.,@customer We can help! Which version of iOS are you currently running? You can check in Settings > General > About > Version,manual_review_verified
